original_Date(UTC),original_Latitude,original_Longitude,original_Depth,original_Magnitude,distance,formatted,lat,lon,housenumber,district,street,postcode,suburb,name,city,county_code,county,state_code,state,country,country_code,attribution,attribution_license,attribution_url
2023-01-14 04:05:42,-32.92,-71.69,32,3.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-13 18:13:05,-31.25,-71.54,49,3.4,0,"Canela, Provincia de Choapa, Chile",-31.4643996,-71.43491570348377,,,,,,,Canela,,Provincia de Choapa,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-13 17:37:28,-20.73,-70.35,39,4.2,2265120.6920472584,South Pacific Ocean,-29.829753,-90.56043,,,,,,South Pacific Ocean,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2023-01-12 14:24:09,-30.64,-71.23,50,4.5,143.27477942716138,"Ruta 45 SN, Ovalle, Chile",-30.640949,-71.231013,SN,,Ruta 45,,,,Ovalle,LM,Limarí,CO,De Coquimbo,Chile,cl,© OpenAddresses contributors,BSD-3-Clause License,
2023-01-12 09:22:19,-29.0,-71.25,54,3.6,0,"Freirina, Provincia de Huasco, Chile",-28.5086484,-71.0785719,,,,,,,Freirina,,Provincia de Huasco,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-12 06:19:10,-30.64,-71.31,54,5.8,458.9039352164344,"Quebrada El Ingenio, Provincia de Limarí, Chile",-30.636391793317582,-71.30767170032078,,,Quebrada El Ingenio,,,Quebrada El Ingenio,,LM,Provincia de Limarí,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-11 20:20:14,-25.61,-70.81,54,4.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-09 09:09:46,-20.04,-69.44,119,3.9,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,,Pozo Almonte,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-08 19:28:46,-33.04,-71.35,59,4.2,17.593190397240114,"San Jorge 21, 650 0000 Villa Alemana, Chile",-33.040014,-71.349812,21,,San Jorge,6500000,,,Villa Alemana,MM,Marga Marga,VS,De Valparaiso,Chile,cl,© OpenAddresses contributors,BSD-3-Clause License,
2023-01-08 06:57:52,-29.27,-71.24,52,3.7,0,"La Higuera, Provincia de Elqui, Chile",-29.511595,-71.2015007,,,,,,,La Higuera,,Provincia de Elqui,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-06 13:33:01,-34.23,-71.59,49,4.0,147.05129994690515,"Criadero de Cerdos Agrosuper, 325 0000 La Estrella, Chile",-34.22985925,-71.58840956477292,,,Criadero de Cerdos Agrosuper,3250000,Criadero de Cerdos Agrosuper,Criadero de Cerdos Agrosuper,La Estrella,CC,Provincia de Cardenal Caro,LI,O'Higgins Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-05 19:08:18,-32.7,-71.24,62,4.2,568.3331618285262,"Camino Particular El Olivo, El Melón, Chile",-32.70106437832589,-71.24615483158948,,,Camino Particular El Olivo,,,Camino Particular El Olivo,El Melón,QT,Provincia de Quillota,VS,Valparaiso Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-05 15:13:22,-28.29,-70.91,52,4.3,0,"1640000 Huasco, Chile",-28.4651248,-71.2207947,,,,1640000,,,Huasco,,Provincia de Huasco,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-05 14:14:29,-22.91,-68.57,123,4.4,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-04 23:23:47,-19.18,-69.08,126,5.1,0,"Colchane, Provincia del Tamarugal, Chile",-19.275822,-68.6389471,,,,,,,Colchane,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-04 19:42:53,-30.78,-71.42,44,4.0,993.5836224033145,"Pozo Gregorio, Ovalle, Provincia de Limarí, Chile",-30.782992,-71.4101997,,,,,,Pozo Gregorio,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-04 15:29:38,-23.0,-68.95,105,4.5,0,"1390000 Sierra Gorda, Chile",-22.8916766,-69.3200101,,,,1390000,,,Sierra Gorda,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-02 18:16:58,-30.44,-71.64,33,3.9,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2023-01-01 12:19:00,-22.99,-68.96,106,5.2,0,"1390000 Sierra Gorda, Chile",-22.8916766,-69.3200101,,,,1390000,,,Sierra Gorda,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-31 12:47:57,-32.28,-71.52,49,4.7,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-31 03:31:44,-23.02,-68.89,98,5.4,175.10730497513867,"Ruta B-255, Sierra Gorda, Chile",-23.189543371686007,-68.86139819148313,,,Ruta B-255,,,Ruta B-255,Sierra Gorda,,Provincia de Antofagasta,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-12-30 17:45:50,-39.14,-72.43,78,3.8,988.2499292969571,"Coicoma, Cautín, Chile",-39.14697,-72.43711,,,,,,Coicoma,,CT,Cautín,AR,De La Araucania,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2022-12-30 01:49:19,-27.64,-70.24,94,4.5,1993.4214450878317,"Tierra Amarilla, Provincia de Copiapó, Chile",-27.6571018,-70.2339296,,,,,,,Tierra Amarilla,,Provincia de Copiapó,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
