original_Date(UTC),original_Latitude,original_Longitude,original_Depth,original_Magnitude,distance,formatted,lat,lon,housenumber,postcode,suburb,district,street,county_code,city,state_code,county,state,country,country_code,name,attribution,attribution_license,attribution_url
2021-09-05 12:25:43,-20.14,-70.46,34,4.1,2289414.4290412595,South Pacific Ocean,-29.829753,-90.56043,,,,,,,,,,,,,South Pacific Ocean,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2021-09-04 03:29:46,-29.86,-71.18,63,3.8,4173.000745463044,"1700000 La Serena, Chile",-29.8972504,-71.1852607,,1700000,,,,,La Serena,,Provincia de Elqui,Coquimbo Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-09-03 18:03:15,-19.51,-69.37,96,3.6,331.9316267486799,"Ruta A-457, Camiña, Chile",-19.499268490417077,-69.36158717445836,,,,,Ruta A-457,,Camiña,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,Ruta A-457,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-09-03 09:51:39,-20.16,-69.27,99,3.1,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,,Pozo Almonte,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-09-03 07:58:59,-30.03,-71.66,28,3.1,1819416.2734930273,South Pacific Ocean,-29.829753,-90.56043,,,,,,,,,,,,,South Pacific Ocean,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2021-09-01 18:35:47,-27.74,-71.12,15,5.5,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-09-01 14:08:47,-30.06,-71.3,64,3.1,71.94305944923472,"Las Luces, Elqui, Chile",-30.06051,-71.30046,,,,,,EQ,,CO,Elqui,De Coquimbo,Chile,cl,Las Luces,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2021-08-31 13:11:27,-29.79,-71.47,61,4.1,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-31 07:52:41,-28.15,-70.74,75,4.4,0,"Vallenar, Provincia de Huasco, Chile",-28.5750438,-70.7616398,,,,,,,Vallenar,,Provincia de Huasco,Atacama Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-30 16:26:31,-21.37,-69.8,51,4.1,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,,Pozo Almonte,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-30 05:13:30,-30.57,-71.3,71,4.5,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,,Ovalle,,Provincia de Limarí,Coquimbo Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-26 08:34:30,-36.29,-71.61,98,4.4,573.6812344938353,"Río Cato, 363 0000 Parral, Chile",-36.28837551124912,-71.61607514078119,,3630000,,,Río Cato,LN,Parral,ML,Provincia de Linares,Maule Region,Chile,cl,Río Cato,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-26 02:50:19,-29.33,-71.19,57,3.0,41.93290262172489,"La Higuera, Provincia de Elqui, Chile",-29.32766299632715,-71.1969092379209,,,,,,,La Higuera,,Provincia de Elqui,Coquimbo Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-25 23:35:42,-35.05,-70.57,20,2.8,461.6864363686498,"Los Cipreses, Curicó, Chile",-35.04846,-70.56529,,,,,,CU,,ML,Curicó,Del Maule,Chile,cl,Los Cipreses,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2021-08-25 15:51:03,-19.39,-69.38,92,3.9,0,"Camiña, Provincia del Tamarugal, Chile",-19.313081,-69.4266968,,,,,,,Camiña,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-25 00:28:33,-27.44,-69.34,107,5.3,0,"1580000 Tierra Amarilla, Chile",-27.4680505,-70.2649307,,1580000,,,,,Tierra Amarilla,,Provincia de Copiapó,Atacama Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-24 22:23:41,-28.46,-70.36,104,3.8,0,"Vallenar, Provincia de Huasco, Chile",-28.5750438,-70.7616398,,,,,,,Vallenar,,Provincia de Huasco,Atacama Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-24 11:06:59,-20.29,-69.04,96,4.0,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,,Pozo Almonte,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-23 21:02:25,-20.91,-69.01,101,4.8,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,,Pozo Almonte,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-22 06:44:43,-31.64,-71.51,37,3.0,3720.042319941546,"Canela, Provincia de Choapa, Chile",-31.6083832,-71.5228445,,,,,,,Canela,,Provincia de Choapa,Coquimbo Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-21 22:07:50,-18.27,-70.32,84,4.5,101.31135570854488,"La Yarada-Los Palos, TAC, Peru",-18.27291371367751,-70.32890892351492,,,,,,,La Yarada-Los Palos,TAC,,Tacna,Peru,pe,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-20 01:02:23,-40.07,-72.43,4,2.8,0,"Futrono, Provincia de Ranco, Chile",-40.131196,-72.3826602,,,,,,,Futrono,LR,Provincia de Ranco,Los Ríos,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-18 15:44:25,-19.51,-69.78,68,4.1,819.6862999358145,"Cerro Retamilla, Tamarugal, Chile",-19.51667,-69.78333,,,,,,TM,,TP,Tamarugal,De Tarapaca,Chile,cl,Cerro Retamilla,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2021-08-16 07:00:10,-23.73,-69.88,71,5.2,0,"Antofagasta, Provincia de Antofagasta, Chile",-23.6463741,-70.3980033,,,,,,,Antofagasta,,Provincia de Antofagasta,Antofagasta Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-15 15:48:24,-21.35,-68.86,121,4.8,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,,Calama,,Provincia de El Loa,Antofagasta Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-13 19:02:45,-19.86,-69.9,62,4.0,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,1140000,,,,,Huara,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-12 04:37:34,-30.29,-71.49,51,4.3,851.2196177009845,"Tanguemar SN, Tongoy, Chile",-30.282353,-71.49041,SN,,,,Tanguemar,EQ,Tongoy,CO,Elqui,De Coquimbo,Chile,cl,,© OpenAddresses contributors,BSD-3-Clause License,
2021-08-08 23:24:34,-32.92,-71.26,58,4.2,814.0128045326863,"Sin Nombre 27, 226 0000 Quillota, Chile",-32.920912,-71.251347,27,2260000,,,Sin Nombre,QT,,VS,Quillota,De Valparaiso,Chile,cl,,© OpenAddresses contributors,BSD-3-Clause License,
2021-08-07 18:31:05,-21.85,-68.44,146,5.2,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,,Calama,,Provincia de El Loa,Antofagasta Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-07 08:40:22,-32.56,-71.73,36,3.5,1814149.1826922332,South Pacific Ocean,-29.829753,-90.56043,,,,,,,,,,,,,South Pacific Ocean,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2021-08-06 04:18:49,-27.2,-70.96,32,4.0,355.89994295553,"Punta Hüber, Caldera, Provincia de Copiapó, Chile",-27.2020834,-70.9627319,,,,,,CO,Caldera,AT,Provincia de Copiapó,Atacama Region,Chile,cl,Punta Hüber,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-04 06:16:53,-18.45,-69.53,118,4.7,556.5601984145397,"Qhapaq Ñan, Putre, Chile",-18.440990248024587,-69.53048046865598,,,,,Qhapaq Ñan,,Putre,,Provincia de Parinacota,Arica y Parinacota Region,Chile,cl,Qhapaq Ñan,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-04 00:27:13,-30.07,-71.57,37,4.7,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-03 19:32:28,-32.34,-70.77,98,4.3,804.9567482790216,"Quebrada Los Chorrillos, Petorca, Chile",-32.33333,-70.76667,,,,,,PE,,VS,Petorca,De Valparaiso,Chile,cl,Quebrada Los Chorrillos,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2021-08-03 14:44:31,-30.0,-71.28,56,3.0,892.4983977450113,"Cerro Zambra, 1800016 Coquimbo, Chile",-29.9963124,-71.2882319,,1800016,,,,EQ,Coquimbo,CO,Provincia de Elqui,Coquimbo Region,Chile,cl,Cerro Zambra,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-02 15:09:34,-22.5,-70.28,65,4.9,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-02 11:58:27,-21.06,-69.73,67,4.4,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,,Pozo Almonte,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-08-02 11:51:30,-25.36,-70.42,72,4.4,0,"Taltal, Provincia de Antofagasta, Chile",-25.4078293,-70.4858424,,,,,,,Taltal,,Provincia de Antofagasta,Antofagasta Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-07-31 15:25:36,-20.38,-69.09,104,4.0,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,,Pica,,Provincia del Tamarugal,Tarapacа Region,Chile,cl,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
