original_Date(UTC),original_Latitude,original_Longitude,original_Depth,original_Magnitude,distance,formatted,lat,lon,housenumber,district,postcode,suburb,street,city,name,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
2019-06-05 16:19:42,-27.41,-70.23,91,5.4,757.8147451252744,"Cerro Ladrillos, Copiapó, Chile",-27.40892,-70.22242,,,,,,,Cerro Ladrillos,Copiapó,CO,De Atacama,AT,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2019-06-04 17:19:19,-30.3,-71.33,24,3.1,1243.4535867457214,"Coquimbo, Provincia de Elqui, Chile",-30.293317,-71.3196158,,,,,,Coquimbo,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-06-04 12:48:06,-19.86,-69.22,94,4.3,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,1140000,,,Huara,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-06-04 10:33:39,-32.16,-71.75,37,4.6,1809212.0171247513,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2019-06-03 08:42:13,-19.64,-70.42,57,5.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-06-03 04:22:25,-32.74,-71.4,63,5.1,565.4624186226376,"Virgen, Puchuncaví, Valparaíso, Chile",-32.73674,-71.40464,,,,,,Puchuncaví,Virgen,Valparaíso,IP,De Valparaiso,VS,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2019-06-03 02:34:34,-35.07,-72.43,43,3.6,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-06-02 19:49:29,-32.15,-71.7,30,4.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-06-02 03:21:17,-23.67,-69.36,86,4.5,0,"Antofagasta, Provincia de Antofagasta, Chile",-23.6463741,-70.3980033,,,,,,Antofagasta,,Provincia de Antofagasta,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-06-01 15:22:57,-27.12,-70.91,35,3.9,969.8072449142809,"Playa Los Bolones, Caldera, Provincia de Copiapó, Chile",-27.128522150000002,-70.91208408163288,,,,,,Caldera,Playa Los Bolones,Provincia de Copiapó,,Atacama Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-06-01 10:59:41,-29.69,-71.31,59,4.5,10.598382757342248,"La Serena, Provincia de Elqui, Chile",-29.69189558212622,-71.30907888036022,,,,,,La Serena,,Provincia de Elqui,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2019-05-30 18:33:20,-33.11,-71.86,32,3.5,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
