original_Date(UTC),original_Latitude,original_Longitude,original_Depth,original_Magnitude,distance,formatted,lat,lon,housenumber,postcode,district,suburb,street,city,name,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
2018-02-01 00:12:57,-37.54,-73.96,26,5.1,1755218.7085429232,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2018-01-28 23:53:15,-31.27,-69.27,183,5.5,0,"Calingasta, Argentina",-31.44769675,-69.88272746134805,,,,,,,Calingasta,Calingasta,CL,San Juan,J,Argentina,ar,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-28 10:11:29,-28.2,-69.39,127,5.1,0,"1580000 Tierra Amarilla, Chile",-27.4680505,-70.2649307,,1580000,,,,Tierra Amarilla,,Provincia de Copiapó,,Atacama Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-27 09:06:48,-29.19,-71.13,59,4.2,0,"Vallenar, Provincia de Huasco, Chile",-28.5750438,-70.7616398,,,,,,Vallenar,,Provincia de Huasco,,Atacama Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-26 15:26:24,-37.58,-73.93,21,4.8,1759463.3524441782,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2018-01-26 13:27:06,-37.49,-74.26,22,5.1,1728838.810977118,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2018-01-26 12:54:38,-30.99,-71.32,55,4.1,0,"Punitaqui, Provincia de Limarí, Chile",-30.8337532,-71.2573637,,,,,,Punitaqui,,Provincia de Limarí,,Coquimbo Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-25 16:22:20,-18.32,-69.19,12,4.2,0,"Putre, Provincia de Parinacota, Chile",-18.1963825,-69.5592242,,,,,,Putre,,Provincia de Parinacota,,Arica y Parinacota Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-25 11:53:44,-18.25,-69.12,11,5.3,0,"Putre, Provincia de Parinacota, Chile",-18.1963825,-69.5592242,,,,,,Putre,,Provincia de Parinacota,,Arica y Parinacota Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-24 07:46:06,-20.31,-69.11,106,5.3,57.81714331271432,"Ruta A-65, Pica, Chile",-20.292043714733314,-69.14856426103336,,,,,Ruta A-65,Pica,Ruta A-65,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-22 08:17:54,-29.62,-71.49,49,4.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-21 18:04:17,-35.98,-73.46,19,4.7,1733536.936499233,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2018-01-21 14:42:53,-36.07,-73.29,32,4.2,1751200.2410981653,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2018-01-21 09:52:05,-22.54,-68.92,89,4.0,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-21 01:06:40,-18.88,-69.61,129,6.2,0,"1000000 Camarones, Chile",-18.9633718,-69.71519067506257,,1000000,,,,Camarones,,Provincia de Arica,,Arica y Parinacota Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-20 11:31:14,-28.98,-71.74,49,5.2,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-15 04:58:40,-21.72,-68.57,112,4.5,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-14 09:18:44,-15.77,-74.67,35,7.0,0,Peru,-6.8699697,-75.0458515,,,,,,,,,,,,Peru,pe,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-13 14:19:04,-21.46,-68.78,116,4.6,771.993186878601,"Cerro Slava, Calama, Provincia de El Loa, Chile",-21.4569567,-68.7732951,,,,,,Calama,Cerro Slava,Provincia de El Loa,EL,Antofagasta Region,AN,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-10 03:16:44,-18.22,-69.57,130,4.7,1924.8206541967613,"Putre, Provincia de Parinacota, Chile",-18.2354012,-69.57832,,,,,,Putre,,Provincia de Parinacota,,Arica y Parinacota Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-01-04 06:01:27,-32.72,-71.66,27,4.4,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-31 17:53:40,-29.27,-71.56,62,4.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-31 10:21:59,-32.02,-71.56,35,4.1,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-30 16:18:29,-21.23,-68.68,119,4.2,381.88505735226624,"Quebrada Feta, El Loa, Chile",-21.22877,-68.67656,,,,,,,Quebrada Feta,El Loa,EL,De Antofagasta,AN,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2017-12-30 12:54:34,-28.02,-71.34,45,4.0,1879196.669422852,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2017-12-30 08:20:51,-19.28,-69.36,104,5.1,0,"Camiña, Provincia del Tamarugal, Chile",-19.313081,-69.4266968,,,,,,Camiña,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-28 03:54:52,-24.91,-70.17,53,5.5,0,"Taltal, Provincia de Antofagasta, Chile",-25.4078293,-70.4858424,,,,,,Taltal,,Provincia de Antofagasta,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-26 13:05:26,-32.77,-70.2,112,4.2,0,"San Esteban, Provincia de Los Andes, Chile",-32.7990544,-70.5795811,,,,,,San Esteban,,Provincia de Los Andes,,Valparaiso Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-26 00:05:14,-23.98,-69.35,95,4.6,0,"Antofagasta, Provincia de Antofagasta, Chile",-23.6463741,-70.3980033,,,,,,Antofagasta,,Provincia de Antofagasta,,Antofagasta Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-23 04:07:43,-29.86,-71.44,55,4.0,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-20 06:08:18,-32.49,-71.71,33,4.3,1815408.2213427192,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2017-12-19 13:14:36,-26.05,-70.43,55,4.7,512.4840858787347,"Ruta 5 Norte, Chañaral, Chile",-26.099812849352894,-70.43731106745565,,,,,Ruta 5 Norte,Chañaral,Ruta 5 Norte,Provincia de Chañaral,,Atacama Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-17 01:19:27,-20.24,-69.15,100,4.5,0,"Pozo Almonte, Provincia del Tamarugal, Chile",-20.2597061,-69.7861372,,,,,,Pozo Almonte,,Provincia del Tamarugal,,Tarapacа Region,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-15 14:14:10,-18.01,-70.08,84,4.5,59.97230756912643,"Pocollay, TAC, Peru",-18.028124694987902,-70.11692229282936,,,,,,Pocollay,,,,Tacna,TAC,Peru,pe,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-14 18:10:34,-19.84,-70.24,23,4.6,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2017-12-11 19:00:57,-19.66,-71.15,35,5.3,2257863.689495242,South Pacific Ocean,-29.829753,-90.56043,,,,,,,South Pacific Ocean,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
