original_Date(UTC),original_Latitude,original_Longitude,original_Depth,original_Magnitude,distance,formatted,lat,lon,housenumber,suburb,name,street,postcode,city,county_code,county,state_code,state,country,country_code,attribution,attribution_license,attribution_url
2016-07-26 00:02:51,-19.09,-69.93,73,4.4,0,"1140000 Huara, Chile",-19.9957872,-69.7727034,,,,,1140000,Huara,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-25 17:26:49,-26.11,-70.48,60,6.0,0,"1490000 Chañaral, Chile",-26.347934,-70.6223617,,,,,1490000,Chañaral,,Provincia de Chañaral,,Atacama Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-25 14:59:29,-30.8,-71.44,42,4.8,229.8692244521542,"Ovalle, Provincia de Limarí, Chile",-30.804939602927945,-71.43685749235401,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-25 12:08:35,-33.41,-70.3,101,4.9,2074.2855703240775,"Potrero Grande, Lo Barnechea, Provincia de Santiago, Chile",-33.4275732,-70.2925015,,,Potrero Grande,,,Lo Barnechea,,Provincia de Santiago,,Santiago Metropolitan Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-25 03:49:48,-22.39,-68.61,114,4.4,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-24 23:03:11,-22.68,-68.58,111,4.3,0,"Calama, Provincia de El Loa, Chile",-22.4623917,-68.9272181,,,,,,Calama,,Provincia de El Loa,,Antofagasta Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-19 05:18:38,-30.18,-72.21,35,5.4,1765539.990093811,South Pacific Ocean,-29.829753,-90.56043,,,South Pacific Ocean,,,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2016-07-19 04:33:50,-30.65,-71.59,28,4.4,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-18 13:58:20,-30.74,-71.71,30,4.7,831.7237773411496,"Punta Limarí Sur, Ovalle, Provincia de Limarí, Chile",-30.7372065,-71.7019272,,,Punta Limarí Sur,,,Ovalle,LM,Provincia de Limarí,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-18 08:59:44,-30.43,-71.6,23,5.1,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-18 02:58:51,-30.74,-71.7,28,5.2,180.06209853258173,"Almacén Limarí, Acceso Caleta El Toro, Ovalle, Chile",-30.7414063,-71.6990659,,,Almacén Limarí,Acceso Caleta El Toro,,Ovalle,LM,Provincia de Limarí,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-18 01:13:13,-30.85,-71.7,32,4.3,0,Chile,-31.7613365,-71.3187697,,,,,,,,,,,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-16 03:25:39,-21.35,-69.98,39,4.3,0,"Iquique, Provincia de Iquique, Chile",-20.2140657,-70.1524646,,,Iquique,,,Iquique,IE,Provincia de Iquique,TP,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-14 06:48:59,-31.77,-71.44,45,4.2,0,"Los Vilos, Provincia de Choapa, Chile",-31.9121611,-71.5138887,,,,,,Los Vilos,,Provincia de Choapa,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-13 14:41:56,-30.64,-71.19,58,4.1,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-12 02:23:27,-42.2,-73.38,40,4.5,1418.993574867118,"Quemchi, Provincia de Chiloé, Chile",-42.2117002,-73.3731221,,,,,,Quemchi,,Provincia de Chiloé,,Los Lagos Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-11 13:27:36,-30.69,-71.27,35,5.1,821.6273813695739,"Estero Cachaco, Ovalle, Chile",-30.6859567,-71.2771918,,,Estero Cachaco,Estero Cachaco,,Ovalle,LM,Provincia de Limarí,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-10 20:00:39,-21.14,-68.87,110,4.7,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-07 21:54:05,-30.57,-71.42,49,4.5,855.7055642334011,"Bodega Casa Tamaya, Viña Tamaya, Ovalle, Chile",-30.57431565,-71.41259975510236,,,Bodega Casa Tamaya,Viña Tamaya,,Ovalle,,Provincia de Limarí,CO,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-06 23:56:28,-30.38,-71.38,49,4.3,968.4219781918256,"Quebrada El Potrero, Elqui, Chile",-30.38692,-71.38613,,,Quebrada El Potrero,,,,EQ,Elqui,CO,De Coquimbo,Chile,cl,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2016-07-06 22:59:10,-20.43,-69.31,94,4.6,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-05 18:15:23,-41.69,-73.6,39,4.5,467.82317013909284,"Maullín, Provincia de Llanquihue, Chile",-41.68446019684516,-73.61157564316464,,,,,,Maullín,,Provincia de Llanquihue,,Los Lagos Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-05 09:53:08,-30.43,-71.6,29,4.0,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-05 02:29:03,-20.16,-71.01,30,4.9,2239686.7224398367,South Pacific Ocean,-29.829753,-90.56043,,,South Pacific Ocean,,,,,,,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2016-07-04 23:02:24,-20.71,-69.13,90,5.0,0,"Pica, Provincia del Tamarugal, Chile",-20.4911417,-69.3290752,,,,,,Pica,,Provincia del Tamarugal,,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-04 00:13:03,-31.45,-71.47,48,4.4,466.5475264910401,"Ruta D-943, Canela, Chile",-31.445080707165488,-71.46855816654481,,,Ruta D-943,Ruta D-943,,Canela,,Provincia de Choapa,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-03 09:22:17,-21.09,-68.79,114,4.0,314.29014825447376,"Quebrada Chunjullo, Pica, Chile",-21.092824436614617,-68.79011504022411,,,Quebrada Chunjullo,Quebrada Chunjullo,,Pica,TM,Provincia del Tamarugal,TP,Tarapacа Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-07-01 22:20:08,-30.8,-71.44,52,4.9,229.8692244521542,"Ovalle, Provincia de Limarí, Chile",-30.804939602927945,-71.43685749235401,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2016-06-28 23:07:30,-30.39,-71.62,28,5.0,0,"Ovalle, Provincia de Limarí, Chile",-30.6030819,-71.2029894,,,,,,Ovalle,,Provincia de Limarí,,Coquimbo Region,Chile,cl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
