Date(UTC),Latitude,Longitude,Depth,Magnitude
2016-07-26 00:02:51,-19.09,-69.93,73,4.4
2016-07-25 17:26:49,-26.11,-70.48,60,6.0
2016-07-25 14:59:29,-30.8,-71.44,42,4.8
2016-07-25 12:08:35,-33.41,-70.3,101,4.9
2016-07-25 03:49:48,-22.39,-68.61,114,4.4
2016-07-24 23:03:11,-22.68,-68.58,111,4.3
2016-07-19 05:18:38,-30.18,-72.21,35,5.4
2016-07-19 04:33:50,-30.65,-71.59,28,4.4
2016-07-18 13:58:20,-30.74,-71.71,30,4.7
2016-07-18 08:59:44,-30.43,-71.6,23,5.1
2016-07-18 02:58:51,-30.74,-71.7,28,5.2
2016-07-18 01:13:13,-30.85,-71.7,32,4.3
2016-07-16 03:25:39,-21.35,-69.98,39,4.3
2016-07-14 06:48:59,-31.77,-71.44,45,4.2
2016-07-13 14:41:56,-30.64,-71.19,58,4.1
2016-07-12 02:23:27,-42.2,-73.38,40,4.5
2016-07-11 13:27:36,-30.69,-71.27,35,5.1
2016-07-10 20:00:39,-21.14,-68.87,110,4.7
2016-07-07 21:54:05,-30.57,-71.42,49,4.5
2016-07-06 23:56:28,-30.38,-71.38,49,4.3
2016-07-06 22:59:10,-20.43,-69.31,94,4.6
2016-07-05 18:15:23,-41.69,-73.6,39,4.5
2016-07-05 09:53:08,-30.43,-71.6,29,4.0
2016-07-05 02:29:03,-20.16,-71.01,30,4.9
2016-07-04 23:02:24,-20.71,-69.13,90,5.0
2016-07-04 00:13:03,-31.45,-71.47,48,4.4
2016-07-03 09:22:17,-21.09,-68.79,114,4.0
2016-07-01 22:20:08,-30.8,-71.44,52,4.9
2016-06-28 23:07:30,-30.39,-71.62,28,5.0
2016-06-27 12:51:12,-31.77,-71.38,45,5.1
2016-06-25 00:47:28,-31.54,-71.5,51,4.7
2016-06-24 21:29:17,-25.74,-69.35,124,5.8
2016-06-23 10:47:49,-20.47,-68.89,107,4.3
2016-06-22 03:54:41,-30.62,-71.72,34,5.2
2016-06-21 00:22:00,-23.76,-70.33,50,4.1
2016-06-18 17:29:46,-24.19,-67.5,199,6.0
2016-06-17 06:38:24,-30.66,-71.63,28,4.9
2016-06-17 03:48:39,-30.17,-71.44,20,4.8
2016-06-17 03:30:54,-23.02,-69.0,93,4.4
2016-06-16 01:14:46,-30.65,-71.22,59,4.9
2016-06-14 22:42:25,-21.13,-68.92,114,4.6
2016-06-14 11:43:24,-30.18,-71.6,40,4.6
2016-06-12 17:07:53,-37.86,-73.65,35,4.5
2016-06-11 13:44:59,-30.36,-71.41,46,4.3
2016-06-07 19:01:45,-25.87,-69.49,84,4.1
2016-06-06 13:21:58,-30.06,-71.53,44,5.6
2016-06-06 13:16:01,-30.12,-71.48,37,5.8
2016-06-06 06:53:10,-32.01,-71.54,40,4.4
2016-06-05 15:05:35,-19.48,-69.25,107,5.3
2016-06-05 09:30:53,-29.37,-71.65,53,4.2
